blind_id,request_id,case_id,root_family_id,condition,split,goal_correct,objects_correct,scene_specific,order_sensible,checks_observable,scene_ready,unsupported_visual_assertion,structure_valid,endpoint_scene_ready,reviewer,note
R028,confirm_F03_B_V2,F03_B,F03,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R029,confirm_F06_A_V2,F06_A,F06,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R030,confirm_F11_B_V2,F11_B,F11,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R031,confirm_F04_B_T,F04_B,F04,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R032,confirm_F07_A_V1,F07_A,F07,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R033,confirm_F03_B_V1,F03_B,F03,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R034,confirm_F03_B_T,F03_B,F03,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R035,confirm_F12_A_V2,F12_A,F12,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R036,confirm_F07_B_T,F07_B,F07,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R037,confirm_F07_A_T,F07_A,F07,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R038,confirm_F08_B_V2,F08_B,F08,V2,confirm,1,1,1,0,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Observed the yellow cube inside the box but still placed the blue cube without an obstacle-removal or validated free-space branch.
R039,confirm_F10_A_V2,F10_A,F10,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R040,confirm_F06_A_T,F06_A,F06,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R041,confirm_F10_B_T,F10_B,F10,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R042,confirm_F10_B_V2,F10_B,F10,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R043,confirm_F11_A_V2,F11_A,F11,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R044,confirm_F02_B_T,F02_B,F02,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R045,confirm_F04_A_V2,F04_A,F04,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R046,confirm_F11_A_T,F11_A,F11,T,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R047,confirm_F11_B_T,F11_B,F11,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R048,confirm_F07_B_V2,F07_B,F07,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R049,confirm_F03_A_V1,F03_A,F03,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R050,confirm_F08_B_T,F08_B,F08,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R051,confirm_F02_B_V2,F02_B,F02,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R052,confirm_F06_B_V1,F06_B,F06,V1,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R053,confirm_F06_B_T,F06_B,F06,T,confirm,1,1,0,1,1,0,0,1,0,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R054,confirm_F08_A_V2,F08_A,F08,V2,confirm,1,1,1,1,1,1,0,1,1,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
