blind_id,goal_correct,objects_correct,scene_specific,order_sensible,checks_observable,scene_ready,unsupported_visual_assertion,recovery_branch_conditional,review_status,reviewer,note
R038,1,1,1,0,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Observed the yellow cube inside the box but still placed the blue cube without an obstacle-removal or validated free-space branch.
R039,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R040,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R041,1,1,0,1,1,0,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R042,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R043,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R044,1,1,0,1,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R045,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R046,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R047,1,1,0,1,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R048,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R049,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R050,1,1,0,1,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R051,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R052,1,1,1,1,1,1,0,yes,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
R053,1,1,0,1,1,0,0,yes,complete,Codex agent single semantic review 2026-09-07,Text-only input could not select the current B-state decision; generic observation or contingency did not establish scene adaptation.
R054,1,1,1,1,1,1,0,not_proposed,complete,Codex agent single semantic review 2026-09-07,Scene-appropriate graph under the prewritten rubric.
