rollout_id,family_id,family_seed,rollout_seed,case_id,trace_complete,frame_manifest_complete,detector_job_complete,numeric_health_pass,pre_hold_verified,physical_loss_confirmed,state,reference_action
L2RAR2_RGB_CONF_02_882002__C12_commanded_release,L2RAR2_RGB_CONF_02_882002,882002,88300211,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none
L2RAR2_RGB_CONF_02_882002__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_02_882002,882002,88300200,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp
L2RAR2_RGB_CONF_02_882002__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_02_882002,882002,88300201,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none
L2RAR2_RGB_CONF_02_882002__C3_stable_hold_clean,L2RAR2_RGB_CONF_02_882002,882002,88300202,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_02_882002__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_02_882002,882002,88300203,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_02_882002__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_02_882002,882002,88300204,C5_weld_off_no_force_outcome_control,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_02_882002__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_02_882002,882002,88300205,C6_weak_intervention_outcome,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_02_882002__C7_medium_intervention_outcome,L2RAR2_RGB_CONF_02_882002,882002,88300206,C7_medium_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_02_882002__C8_strong_loss_clean,L2RAR2_RGB_CONF_02_882002,882002,88300207,C8_strong_loss_clean,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_02_882002__C9_strong_loss_frame_dropout,L2RAR2_RGB_CONF_02_882002,882002,88300208,C9_strong_loss_frame_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_03_882003__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_03_882003,882003,88300309,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_03_882003__C11_transport_strong_loss,L2RAR2_RGB_CONF_03_882003,882003,88300310,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_03_882003__C12_commanded_release,L2RAR2_RGB_CONF_03_882003,882003,88300311,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none
L2RAR2_RGB_CONF_03_882003__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_03_882003,882003,88300300,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp
L2RAR2_RGB_CONF_03_882003__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_03_882003,882003,88300301,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none
L2RAR2_RGB_CONF_03_882003__C3_stable_hold_clean,L2RAR2_RGB_CONF_03_882003,882003,88300302,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_03_882003__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_03_882003,882003,88300303,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_03_882003__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_03_882003,882003,88300304,C5_weld_off_no_force_outcome_control,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_03_882003__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_03_882003,882003,88300305,C6_weak_intervention_outcome,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_03_882003__C7_medium_intervention_outcome,L2RAR2_RGB_CONF_03_882003,882003,88300306,C7_medium_intervention_outcome,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_03_882003__C8_strong_loss_clean,L2RAR2_RGB_CONF_03_882003,882003,88300307,C8_strong_loss_clean,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_03_882003__C9_strong_loss_frame_dropout,L2RAR2_RGB_CONF_03_882003,882003,88300308,C9_strong_loss_frame_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_04_882004__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_04_882004,882004,88300409,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_04_882004__C11_transport_strong_loss,L2RAR2_RGB_CONF_04_882004,882004,88300410,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_04_882004__C12_commanded_release,L2RAR2_RGB_CONF_04_882004,882004,88300411,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none
L2RAR2_RGB_CONF_04_882004__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_04_882004,882004,88300400,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp
L2RAR2_RGB_CONF_04_882004__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_04_882004,882004,88300401,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none
L2RAR2_RGB_CONF_04_882004__C3_stable_hold_clean,L2RAR2_RGB_CONF_04_882004,882004,88300402,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_04_882004__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_04_882004,882004,88300403,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_04_882004__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_04_882004,882004,88300404,C5_weld_off_no_force_outcome_control,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_04_882004__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_04_882004,882004,88300405,C6_weak_intervention_outcome,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_04_882004__C7_medium_intervention_outcome,L2RAR2_RGB_CONF_04_882004,882004,88300406,C7_medium_intervention_outcome,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_04_882004__C8_strong_loss_clean,L2RAR2_RGB_CONF_04_882004,882004,88300407,C8_strong_loss_clean,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_04_882004__C9_strong_loss_frame_dropout,L2RAR2_RGB_CONF_04_882004,882004,88300408,C9_strong_loss_frame_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_05_882005__C10_brief_hold_strong_loss,L2RAR2_RGB_CONF_05_882005,882005,88300509,C10_brief_hold_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_05_882005__C11_transport_strong_loss,L2RAR2_RGB_CONF_05_882005,882005,88300510,C11_transport_strong_loss,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_05_882005__C12_commanded_release,L2RAR2_RGB_CONF_05_882005,882005,88300511,C12_commanded_release,True,True,True,True,True,False,COMMANDED_RELEASE,none
L2RAR2_RGB_CONF_05_882005__C1_hold_request_ends_without_hold,L2RAR2_RGB_CONF_05_882005,882005,88300500,C1_hold_request_ends_without_hold,True,True,True,True,False,False,MISSED_HOLD_RESOLVED,retry_grasp
L2RAR2_RGB_CONF_05_882005__C2_touch_request_completes_without_hold,L2RAR2_RGB_CONF_05_882005,882005,88300501,C2_touch_request_completes_without_hold,True,True,True,True,False,False,TOUCH_ONLY_RESOLVED,none
L2RAR2_RGB_CONF_05_882005__C3_stable_hold_clean,L2RAR2_RGB_CONF_05_882005,882005,88300502,C3_stable_hold_clean,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_05_882005__C4_stable_hold_camera_jitter,L2RAR2_RGB_CONF_05_882005,882005,88300503,C4_stable_hold_camera_jitter,True,True,True,True,True,False,WELD_SUPPORTED_HOLD,none
L2RAR2_RGB_CONF_05_882005__C5_weld_off_no_force_outcome_control,L2RAR2_RGB_CONF_05_882005,882005,88300504,C5_weld_off_no_force_outcome_control,True,True,True,True,True,False,WELD_OFF_CONTACT_SUPPORTED,none
L2RAR2_RGB_CONF_05_882005__C6_weak_intervention_outcome,L2RAR2_RGB_CONF_05_882005,882005,88300505,C6_weak_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_05_882005__C7_medium_intervention_outcome,L2RAR2_RGB_CONF_05_882005,882005,88300506,C7_medium_intervention_outcome,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_05_882005__C8_strong_loss_clean,L2RAR2_RGB_CONF_05_882005,882005,88300507,C8_strong_loss_clean,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
L2RAR2_RGB_CONF_05_882005__C9_strong_loss_frame_dropout,L2RAR2_RGB_CONF_05_882005,882005,88300508,C9_strong_loss_frame_dropout,True,True,True,True,True,True,PHYSICAL_LOSS_CONFIRMED,recover_object
